name,set_name,border_color,mana_cost,type_line,oracle_text,power,toughness,loyalty,collector_number,watermark,usd,eur
Free-for-All,Unglued,silver,{3}{U},Enchantment,"When Free-for-All enters the battlefield, exile all creatures face down.\nAt the beginning of each player's upkeep, that player chooses a card exiled with Free-for-All at random and puts it onto the battlefield.\nWhen Free-for-All leaves the battlefield, put all cards exiled with it into their owners' graveyard",,,,25,,1.08,0.38
Slaying Mantis,Unsanctioned,silver,{5}{G}{G},Creature — Insect Wrestler,"Just a second (As long as this spell is on the stack, players can't move cards on the battlefield.)\nSlaying Mantis enters the battlefield by being thrown from a distance of at least three feet.\nWhen Slaying Mantis enters the battlefield, it fights each creature an opponent controls that it touched as it entere",6,6,,69,crossbreedlabs,0.13,0.09
Chicken Egg,Unglued,silver,{1}{R},Creature — Egg,"At the beginning of your upkeep, roll a six-sided die. If you roll a 6, sacrifice Chicken Egg and create a 4/4 red Giant Bird creature token.",0,1,,41,,0.19,0.15
Face to Face,Unhinged,silver,{1}{R},Sorcery,"You and target opponent play a best two-out-of-three Rock, Paper, Scissors match. If you win, Face to Face deals 5 damage to that player.",,,,76,,0.26,0.25
Zombified,Unstable,silver,"",Creature — Zombie,"{4}{B}: Combine Zombified from your graveyard with target host.\n{2}{B}, Exile a creature card from your graveyard:\nAugment {4}{B} ({4}{B}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery",+2,+2,,75,,0.11,0.04
Magical Hacker,Unhinged,silver,{1}{U},Creature — Human Gamer,"{U}: Change the text of target spell or permanent by replacing all instances of + with -, and vice versa, until end of turn.",1,2,,37,,0.34,0.55
Ineffable Blessing,Unstable,silver,{1}{G},Enchantment,"As Ineffable Blessing enters the battlefield, choose a number.\nWhenever a creature with exactly the chosen number of words in its name enters the battlefield under your control, draw a card. (Hyphenated words are one word.",,,,113f,,0.57,1.5
Stinging Scorpion,Unsanctioned,silver,{4}{B},Host Creature — Scorpion,"When this creature enters the battlefield, target creature an opponent controls gets -1/-1 until end of turn.",3,2,,46,,0.03,0.09
Ineffable Blessing,The List (Unfinity Foil Edition),silver,{1}{G},Enchantment,"As Ineffable Blessing enters the battlefield, choose Flavorful or Bland.\n• Flavorful — Whenever a creature with flavor text enters the battlefield under your control, draw a card.\n• Bland — Whenever a creature without flavor text enters the battlefield under your control, draw a car",,,,38,,,
Swamp,Unglued,black,"",Basic Land — Swamp,({T}: Add {B}.),,,,86,,4.56,4.29
Box of Free-Range Goblins,Unstable,silver,{4}{R}{R},Sorcery,Roll a six-sided die. Create a number of 1/1 red Goblin creature tokens equal to the result.,,,,77,goblinexplosioneers,0.09,0.1
Magic Word,Unstable,silver,{2}{U},Enchantment — Aura,"Enchant creature\nAs Magic Word enters the battlefield, choose a word.\nWhisper the chosen word: Tap enchanted creatur",,,,38,agentsofsneak,0.06,0.03
Joyride Rigger,Unstable,silver,{3}{G},Creature — Goblin Rigger,"When Joyride Rigger enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",3,3,,114,goblinexplosioneers,0.06,0.1
Secret Base,Unstable,silver,"",Land,{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a spell that shares a watermark with Secret Base,,,,165e,crossbreedlabs,0.16,0.06
"Syr Cadian, Knight Owl",The List (Unfinity Foil Edition),silver,{3}{W}{W},Legendary Creature — Bird Knight,"Knightlifelink (Damage dealt by Knights you control also causes you to gain that much life.)\n{W}: Syr Cadian, Knight Owl gains vigilance until end of turn. Activate only from sunrise to sunset.\n{B}: Syr Cadian, Knight Owl gains flying until end of turn. Activate only from sunset to sunris",4,4,,9,,,
Goblin,Unstable Tokens,silver,"",Token Creature — Goblin,"",1,1,,12,,,
Rules Lawyer,Unstable,silver,{3}{W}{W},Artifact Creature — Cyborg Advisor,"State-based actions don't apply to you or other permanents you control. (You don't lose the game due to having 0 or less life or drawing from an empty library. Your creatures aren't destroyed due to damage or deathtouch and aren't put into a graveyard due to having 0 or less toughness. Your planeswalkers aren't put into a graveyard if they have 0 loyalty. You don't put a legendary permanent into a graveyard if you control two with the same name. Counters aren't removed from your permanents due to game rules. Permanents you control attached or combined illegally remain on the battlefield. For complete rules and regulations, see rule 704.)",1,1,,20,orderofthewidget,0.19,0.17
Laughing Hyena,Unhinged,silver,{1}{G},Creature — Hyena,"Gotcha — If an opponent laughs, you may say \""Gotcha!\"" When you do, return Laughing Hyena from your graveyard to your han",2,2,,103★,,,
Paper Tiger,Unglued,silver,{4},Artifact Creature — Cat,Creatures named Rock Lobster can't attack or block.,4,3,,78,,0.8,0.73
Jester's Sombrero,Unglued,silver,{2},Artifact,"{2}, {T}, Sacrifice Jester's Sombrero: Look at target player's sideboard, choose three cards from it, and remove those cards from the match.",,,,76,,0.41,0.35
Mana Screw,Unhinged,silver,{1},Artifact,"{1}: Flip a coin. If you win the flip, add {C}{C}. Activate only as an instant.",,,,123★,flavor,,
Ambiguity,Unhinged,silver,{2}{U}{U},Enchantment,"Whenever a player plays a spell that counters a spell that has been played or a player plays a spell that comes into play with counters, that player may counter the next spell played or put an additional counter on a permanent that has already been played, but not countered.",,,,24,,0.88,0.49
Masterful Ninja,The List (Unfinity Foil Edition),silver,{2}{B},Creature — Troll Ninja,Haste\nReveal Masterful Ninja from your hand: Masterful Ninja is on the battlefield and in your hand until end of turn.\n{1}{B}: Masterful Ninja gets +1/+1 until end of tur,1,1,,22,agentsofsneak,,
Brushstroke Paintermage,Unhinged,silver,{3}{U},Creature — Human Wizard,{T}: Target permanent's artist becomes the artist of your choice until end of turn.,2,3,,27,,0.13,0.1
Six-y Beast,Unsanctioned,silver,{3}{R},Creature — Beast,"As Six-y Beast enters the battlefield, you secretly put six or fewer +1/+1 counters on it, then an opponent guesses the number of counters. If that player guesses right, sacrifice Six-y Beast after it enters the battlefield.",0,0,,56,,0.07,0.09
Tread Mill,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Tread Mill, until end of turn, target creature gets +1/+2, gains vigilance, and becomes an artifact in addition to its other types.",,,,208,orderofthewidget,0.09,0.19
Elemental // Elemental,Unstable Tokens,black,,Token Creature — Elemental // Token,,,,,17,,,
Double Take,Unglued,silver,{3}{U}{U},Instant,"Choose another player. You draw two cards. At the beginning of the first upkeep in your next game with that player, you draw two cards.",,,,23,,0.2,0.25
Farewell to Arms,Unhinged,silver,{1}{B}{B},Enchantment,"As Farewell to Arms enters the battlefield, choose a hand attached to an opponent's arm.\nWhen the chosen hand isn't behind its owner's back, sacrifice Farewell to Arms. If you do, that player discards their hand . . . of cards. (The lawyers wouldn't let us do it the other way.",,,,56,,0.17,0.4
Labro Bot,Unstable,silver,{5},Host Artifact Creature — Dog,"When this creature enters the battlefield, return target host card or card with augment from your graveyard to your hand.",3,3,,152,,0.16,0.08
Suspicious Nanny,Unstable,silver,{4}{U},Creature — Human Spy Rigger,"Whenever Suspicious Nanny deals combat damage to a player, it reassembles target Contraption that player controls. (Gain control of it and move it onto one of your sprockets.)",3,4,,47,agentsofsneak,0.1,0.06
City of Ass,Unhinged,silver,"",Land,City of Ass enters the battlefield tapped.\n{T}: Add one and one-half mana of any one color,,,,134,,21.6,9.0
Mons's Goblin Waiters,Unhinged,silver,{R},Creature — Goblin Waiter,Sacrifice a creature or land: Add {HR}.,1,1,,82,,0.16,0.05
Elemental // Elemental,Unstable Tokens,black,,Token Creature — Elemental // Token,,,,,11,,,
Question Elemental?,Unhinged,silver,{2}{U}{U},Creature — Elemental?,"Did you know this creature has flying?\nAre you aware that any time you say something that isn't a question, when a player points out this fact first, they gain control of Question Elemental",3,4,,43,,0.25,0.2
Novellamental,Unstable,silver,{1}{U},Creature — Elemental,Flying\nNovellamental can block only creatures with flying,2,1,,41c,,0.08,0.1
Goblin Slingshot,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Goblin Slingshot, creatures you control get +2/+0 and gain trample until end of turn.",,,,185,goblinexplosioneers,0.11,0.22
Mountain,Unsanctioned,black,"",Basic Land — Mountain,({T}: Add {R}.),,,,94,,1.28,2.19
Shoe Tree,Unhinged,silver,{4}{G},Creature — Treefolk,Shoe Tree enters the battlefield with up to two shoe counters on it. Use your shoes as counters.\nShoe Tree gets +1/+1 for each shoe counter on it,3,3,,109,,0.1,0.29
Forest,Unsanctioned,black,"",Basic Land — Forest,({T}: Add {G}.),,,,95,,0.99,0.25
Boomstacker,Unsanctioned,silver,{2}{R},Creature — Goblin Artificer,"As Boomstacker enters the battlefield and whenever it attacks, stack two dice on top of it. (All dice must be stacked vertically, one on top of another.)\nBoomstacker gets +1/+1 for each die in its stack.\nBoomstacker attacks each combat if able.\nWhen the stack falls, sacrifice Boomstack",0,0,,49,,0.16,0.18
Miss Demeanor,Unglued,silver,{3}{W},Creature — Lady of Proper Etiquette,"Flying, first strike\nAt the beginning of each other player's upkeep, you may compliment that player on their game play. If you don't, sacrifice Miss Demeanor",3,1,,10,,0.45,0.4
"Pippa, Duchess of Dice",The List (Unfinity Foil Edition),silver,{2}{G},Legendary Creature — Human Noble,"{2}{G}, {T}: Roll a six-sided die. It becomes a green Die creature token with power and toughness each equal to its result.\n{2}{U}, {T}: Reroll any die. (Activate only any time it makes sense.",2,2,,40,,,
Amateur Auteur,Unstable,silver,{1}{W},Creature — Human,Sacrifice Amateur Auteur: Destroy target enchantment.,2,2,,3c,,0.08,0.02
Over My Dead Bodies,The List (Unfinity Foil Edition),silver,{4}{B}{B},Enchantment,"Creature cards in graveyards can attack and block as though they were on the battlefield, can block or be blocked only by creature cards in graveyards, are Zombies in addition to their other types, and have undeathtouch. (If they would deal damage to a creature card, exile that creature card instead.)\nCreature cards in your graveyard have haste",,,,23,leagueofdastardlydoom,,
Numbing Jellyfish,Unstable,silver,{3}{U},Host Creature — Jellyfish,"When this creature enters the battlefield, roll a six-sided die. Target player mills X cards, where X is the result.",2,3,,42,,0.06,0.19
Hydradoodle,Unstable,silver,{X}{X}{G}{G},Creature — Hydra Dog,"As Hydradoodle enters the battlefield, roll X six-sided dice. Hydradoodle enters the battlefield with a number of +1/+1 counters on it equal to the total of those results.\nReach, trampl",0,0,,112,crossbreedlabs,0.25,0.15
Ordinary Pony,Unsanctioned,silver,{2}{W},Host Creature — Horse,"When this creature enters the battlefield, you may exile target non-Horse creature you control that wasn't put onto the battlefield with this ability this turn, then return it to the battlefield under its owner's control.",2,3,,12,,0.07,0.19
Beast in Show,Unstable,silver,{4}{G}{G},Creature — Beast,Trample,6,4,,103b,,0.13,0.1
Spatula of the Ages,Unglued,silver,{4},Artifact,"{4}, {T}, Sacrifice Spatula of the Ages: You may put a silver-bordered or acorn permanent card from your hand onto the battlefield.",,,,81,,0.25,0.69
Target Minotaur,Unstable,silver,{1}{R},Creature — Minotaur Warrior,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",2,1,,98c,,0.1,0.06
Gleemax,Unhinged,silver,{1000000},Legendary Artifact,You choose all targets for all spells and abilities.,,,,121,,5.57,1.29
Dictation Quillograph,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Dictation Quillograph, until end of turn, target creature gains \""Whenever this creature deals combat damage to a player, you may draw a card. If you do, discard a card.",,,,175,agentsofsneak,0.06,0.19
Prismatic Wardrobe,Unglued,silver,{W},Sorcery,"Destroy target nonartifact, nonland permanent that doesn't share a color with clothing worn by its controller.",,,,12,,0.23,0.27
Punctuate,Unhinged,silver,{3}{R},Instant,"Punctuate deals damage to target creature equal to half the number of punctuation marks in that creature's text box. (The punctuation marks are ! ? , ; : - — ( ) / \"" \"" ' ' \u",,,,84,,0.14,0.1
Hot Fix,Unstable,silver,{4}{W}{U},Sorcery,"You have ten seconds to look at and rearrange the cards in your library. At the end of those ten seconds, if you're touching one or more of those cards, shuffle.",,,,133,orderofthewidget,0.17,0.15
Plains,Unstable,borderless,"",Basic Land — Plains,({T}: Add {W}.),,,,212,,1.94,1.0
Dumb Ass,Unhinged,silver,{2}{R},Creature — Donkey Barbarian,"At the beginning of your upkeep, flip a coin. If you lose the flip, target opponent chooses whether Dumb Ass attacks this turn.",3.5,2,,75,,0.2,0.29
Humming-,Unsanctioned,silver,"",Creature — Bird,"Flying\nWhenever you attack with two or more creatures,\nAugment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery",+2,+3,,7,,0.07,0.02
Wall of Fortune,Unsanctioned,silver,{1}{U},Artifact Creature — Wall,Defender\nYou may tap an untapped Wall you control to have any player reroll a die that player rolled,0,4,,30,orderofthewidget,0.06,0.29
Collector Protector,Unhinged,silver,{3}{W}{W},Creature — Human Gamer,"{W}, Give an opponent a nonland card you own from outside the game: Prevent the next 1 damage that would be dealt to you or Collector Protector this turn.",2,5,,7,,0.5,0.19
Urza's Hot Tub,Unhinged,silver,{2},Artifact,"{2}, Discard a card: Search your library for a card that shares a complete word in its name with the discarded card, reveal it, put it into your hand, then shuffle.",,,,131,,0.37,0.4
Rock Lobster,Unsanctioned,silver,{4},Artifact Creature — Lobster,Creatures named Scissors Lizard can't attack or block.,4,3,,82,,0.32,0.15
B.O.B. (Bevy of Beebles),Unsanctioned,silver,{3}{U}{U},Legendary Planeswalker — B.O.B.,"As B.O.B. enters the battlefield, create four 1/1 blue Beeble creature tokens.\nThe number of loyalty counters on B.O.B. is equal to the number of Beebles you control. (Create or sacrifice Beebles whenever B.O.B. gains or loses loyalty.)\n+1: Up to X target Beebles can't be blocked this turn, where X is the number of cards in your hand.\n−1: Draw a ca",,,*,18,,0.32,0.49
Summon the Pack,The List (Unfinity Foil Edition),silver,{7}{B},Sorcery,"Open a sealed Magic booster pack, reveal the cards, and put all creature cards revealed this way onto the battlefield under your control. They're Zombies in addition to their other types. (Remove those cards from your deck before beginning a new game.)",,,,25,leagueofdastardlydoom,,
Krark's Other Thumb,Unsanctioned,silver,{2},Legendary Artifact,"If you would roll a die, instead roll two of those dice and ignore one of those results.",,,,79,goblinexplosioneers,0.32,0.75
Storm Crow,Unstable Tokens,silver,"",Token Creature — Bird,Flying,1,2,,5,,,
Ineffable Blessing,Unstable,silver,{1}{G},Enchantment,"As Ineffable Blessing enters the battlefield, choose an artist.\nWhenever a creature with art by the chosen artist enters the battlefield under your control, draw a card",,,,113b,,0.83,1.2
Target Minotaur,Unstable,silver,{1}{R},Creature — Minotaur Warrior,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",2,1,,98b,,0.15,0.06
Kindly Cognician,Unstable,silver,{1}{U},Artifact Creature — Cyborg Artificer,Spells you cast that refer to artifacts or Contraptions in their rules text cost {1} less to cast.,1,3,,37,orderofthewidget,0.12,0.12
Arms Depot,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Arms Depot, put two +1/+1 counters on target creature.",,,,169,crossbreedlabs,0.23,0.31
Mad Science Fair Project,Unstable,silver,{3},Artifact,"{T}: Roll a six-sided die. On a 3 or lower, target player adds {C}. Otherwise, that player adds one mana of any color they choose.",,,,154,leagueofdastardlydoom,0.11,0.1
"Grusilda, Monster Masher",Unstable,silver,{3}{B}{R},Legendary Creature — Zombie Villain,"Combined, enchanted, and equipped creatures you control have menace.\n{3}{B}{R}, {T}: Put two target creature cards from graveyards onto the battlefield combined into one creature under your control. (Its power is equal to their total power, its toughness is equal to their total toughness, and it has their names, mana costs, types, text boxes, etc.",4,4,,132,leagueofdastardlydoom,0.23,0.2
Knight of the Kitchen Sink,Unstable,silver,{W}{W},Artifact Creature — Cyborg Knight,"First strike, protection from odd collector numbers (Nothing with an odd collector number can block, target, deal damage to, or attach to this creature.)",2,2,,12d,orderofthewidget,0.33,0.1
Oddly Uneven,Unstable,silver,{3}{W}{W},Sorcery,Choose one —\n• Destroy each creature with an odd number of words in its name. (Hyphenated words are one word.)\n• Destroy each creature with an even number of words in its nam,,,,15,,0.17,0.25
Swamp,Unhinged,black,"",Basic Land — Swamp,({T}: Add {B}.),,,,138,,5.32,2.17
Chittering Doom,Unstable,silver,{3}{G},Enchantment,"Whenever you roll a 4 or higher on a die, create a 1/1 green Squirrel creature token.",,,,104,,0.2,0.05
Hammer Helper,Unstable,silver,{3}{R},Sorcery,"Gain control of target creature until end of turn. Untap that creature and roll a six-sided die. Until end of turn, it gains haste and gets +X/+0, where X is the result.",,,,85,goblinexplosioneers,0.1,0.02
"\""Ach! Hans, Run!",Unhinged,silver,{2}{R}{R}{G}{G},Enchantment,"At the beginning of your upkeep, you may say \""Ach! Hans, run! It's the . . .\"" and the name of a creature card. If you do, search your library for a card with that name, put it onto the battlefield, then shuffle. That creature gains haste. Exile it at the beginning of the next end ste",,,,116,,3.9,2.69
Sauté,Unhinged,silver,{1}{R}{R},Instant,Sauté deals 3½ damage to any target.,,,,88,,0.19,0.1
Fraction Jackson,Unhinged,silver,{2}{G},Creature — Human Hero,"{G}, {T}: Return target card with a ½ on it from your graveyard to your hand.",1,1.5,,97,,0.36,0.5
Rhino-,Unstable,silver,"",Creature — Rhino,"Whenever this creature blocks,\nAugment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",+1,+4,,18,,0.19,0.05
Selfie Preservation,Unstable,silver,{1}{G},Sorcery,"Search your library for a basic land card and reveal it. If there's a tree in its art, put it onto the battlefield tapped. Otherwise, put it into your hand. Then shuffle.",,,,119,,0.13,0.11
Entirely Normal Armchair,Unsanctioned,silver,"",Artifact,"During your turn, if Entirely Normal Armchair is in your hand, you may hide it on the battlefield.\n{0}: Return Entirely Normal Armchair to its owner's hand. Only your opponents may activate this ability and only if they see Entirely Normal Armchair.\n{2}, Sacrifice Entirely Normal Armchair: Destroy target attacking creatur",,,,77,,0.19,0.19
Squirrel Dealer,Unstable,silver,{G},Creature — Raccoon Lizard Bird,"When Squirrel Dealer enters the battlefield, ask a person outside the game \""Do you like Squirrels?\"" If they do, create a 1/1 green Squirrel creature toke",1,1,,123,crossbreedlabs,0.19,0.1
Who // What // When // Where // Why,Unhinged,silver,{X}{W} // {2}{R} // {2}{U} // {3}{B} // {1}{G},Instant,,,,,120,,1.36,1.35
Knight of the Hokey Pokey,Unsanctioned,silver,{W}{W},Creature — Knight,"First strike\n{1}{W}, Do the Hokey Pokey: Prevent all damage a source of your choice would deal to Knight of the Hokey Pokey this turn. (To do the Hokey Pokey, choose an arm, a leg, or your whole self and put it in. Put it out. Put it in. Shake it all about. You do the Hokey Pokey! Turn yourself around.",2,2,,8,,0.08,0.22
Delighted Killbot,Unstable,silver,{2},Artifact Creature — Killbot,"",2,1,,145b,leagueofdastardlydoom,0.16,0.19
Chipper Chopper,Unstable,silver,{3}{U},Artifact Creature — Cyborg Rigger,"Flying\nWhen Chipper Chopper enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Chipper Chopper and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.",1,1,,28,orderofthewidget,0.04,0.19
Frazzled Editor,Unhinged,silver,{1}{R},Creature — Human Bureaucrat,Protection from wordy (Something is wordy if it has four or more lines of rules text.),2,2,,77★,,,
Urza's Science Fair Project,Unglued,silver,{6},Artifact Creature — Construct,{2}: Roll a six-sided die. Urza's Science Fair Project gets the indicated result.\n1 — It gets -2/-2 until end of turn.\n2 — Prevent all combat damage it would deal this turn.\n3 — It gains vigilance until end of turn.\n4 — It gains first strike until end of turn.\n5 — It gains flying until end of turn.\n6 — It gets +2/+2 until end of,4,4,,83,,0.39,0.73
Shoe Tree,Unhinged,silver,{4}{G},Creature — Treefolk,Shoe Tree enters the battlefield with up to two shoe counters on it. Use your shoes as counters.\nShoe Tree gets +1/+1 for each shoe counter on it,3,3,,109★,flavor,,
Saproling // Saproling,Unstable Tokens,black,,Token Creature — Saproling // Token,,,,,14,,,
Avatar of Me,Unhinged,silver,{2}{U}{U},Creature — Avatar,This spell costs {1} more to cast for each ten years you've been alive.\nAvatar of Me's power is equal to your height in feet and its toughness is equal to your American shoe size. Round to the nearest ½.\nAvatar of Me is the color of your eye,*,*,,26,,0.4,0.5
"Phoebe, Head of S.N.E.A.K.",Unstable,silver,{1}{U}{B},Legendary Creature — Human Spy,"Phoebe, Head of S.N.E.A.K. can't be blocked by creatures with flavor text.\n{2}{U}{B}: Phoebe permanently steals target creature's text box. (That creature loses all rules text, flavor text, and watermarks. This creature gains them.",2,3,,135,agentsofsneak,0.48,0.35
Avatar of Me,Unsanctioned,silver,{2}{U}{U},Creature — Avatar,This spell costs {1} more to cast for each ten years you've been alive.\nAvatar of Me's power is equal to your height in feet and its toughness is equal to your American shoe size. Round to the nearest ½.\nAvatar of Me is the color of your eye,*,*,,17,,0.1,0.17
Applied Aeronautics,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Applied Aeronautics, until end of turn, target creature gets +1/+0, gains flying, and becomes an artifact in addition to its other types.",,,,168,orderofthewidget,0.08,0.17
Mountain,Unglued,black,"",Basic Land — Mountain,({T}: Add {R}.),,,,87,,5.68,4.3
Zombie,Unglued Tokens,silver,"",Token Creature — Zombie,"",2,2,,3,,5.73,
Quick-Stick Lick Trick,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Quick-Stick Lick Trick, target creature gets +1/+1 and gains lifelink until end of turn.",,,,199,crossbreedlabs,0.11,0.02
Mary O'Kill,The List (Unfinity Foil Edition),silver,{5}{B/R},Legendary Creature — Human Villain,"{1}{B/R}: Switch a Killbot or Mary O'Kill in your hand with one on the battlefield. (If a creature is tapped, the switched creature is tapped. The same is true for untapped, attacking, blocking, enchanted, equipped, and targeted. Any counters on a creature are on the switched creature instead.)",5,5,,50,leagueofdastardlydoom,,
Red-Hot Hottie,Unhinged,silver,{2}{R}{R},Creature — Elemental,"Whenever Red-Hot Hottie deals damage to a creature, put a third-degree-burn counter on that creature. It gains \""At the beginning of each end step, sacrifice this creature unless you scream 'Aaah!' at the top of your lungs.",2,5,,86,,0.3,0.1
Fat Ass,Unhinged,silver,{4}{G},Creature — Donkey Shaman,Fat Ass gets +2/+2 and has trample as long as you're eating. (Gum isn't food. We checked.),2,3.5,,95,,0.23,0.15
Voracious Vacuum,Unstable,silver,{3},Host Artifact Creature — Construct,"When this creature enters the battlefield, put a +1/+1 counter on target creature.",1,1,,164,,0.07,0.08
Stinging Scorpion,Unstable,silver,{4}{B},Host Creature — Scorpion,"When this creature enters the battlefield, target creature an opponent controls gets -1/-1 until end of turn.",3,2,,72,,0.07,0.09
Little Girl,Unhinged,silver,{HW},Creature — Human Child,"",.5,.5,,16,,0.28,0.29
Division Table,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Division Table, target player loses 2 life.",,,,177,leagueofdastardlydoom,0.08,0.17
Steamflogger Boss,Unstable,black,{3}{R},Creature — Goblin Rigger,"Other Riggers you control get +1/+0 and have haste.\nIf a Rigger you control would assemble a Contraption, it assembles two Contraptions instead",3,3,,93,goblinexplosioneers,0.26,0.25
Ineffable Blessing,Unstable,silver,{1}{G},Enchantment,"As Ineffable Blessing enters the battlefield, choose white-bordered or silver-bordered.\nWhenever a creature with the chosen border enters the battlefield under your control, draw a card",,,,113c,,2.27,2.45
Goblin S.W.A.T. Team,Unhinged,silver,{3}{R},Creature — Goblin Warrior,"Say \""Goblin S.W.A.T. Team\"": Put a +1/+1 counter on Goblin S.W.A.T. Team unless an opponent swats the table within five seconds. Activate only once each tur",2,2,,80,,0.19,0.1
Tainted Monkey,Unhinged,silver,{1}{B},Creature — Monkey,"{T}: Choose a word. Target player mills a card. If a card with the chosen word in its text box was milled this way, they lose 3 life.",1,1,,64,,0.16,0.1
Elvish Impersonators,Unglued,silver,{3}{G},Creature — Elves,"As Elvish Impersonators enters the battlefield, roll a six-sided die twice. Its base power becomes the first result and its base toughness becomes the second result.",*,*,,56,,0.12,0.04
Staying Power,Unhinged,silver,{2}{W},Enchantment,"\""Until end of turn\"" and \""this turn\"" effects don't ",,,,21,,0.45,0.5
Mother Kangaroo,Unsanctioned,silver,{4}{G},Host Creature — Kangaroo,"When this creature enters the battlefield, roll a six-sided die. Put a number of +1/+1 counters on this creature equal to the result.",1,1,,66,,0.11,0.09
The Big Idea,The List (Unfinity Foil Edition),silver,{4}{R}{R},Legendary Creature — Brainiac Villain,"{2}{B/R}{B/R}, {T}: Roll a six-sided die. Create a number of 1/1 red Brainiac creature tokens equal to the result.\nTap three untapped Brainiacs you control: The next time you would roll a six-sided die, instead roll two six-sided dice and use the total of those results",4,4,,26,leagueofdastardlydoom,,
Charm School,Unglued,silver,{2}{W},Enchantment,"As Charm School enters the battlefield, choose a color and balance Charm School on your head.\nPrevent all damage that would be dealt to you by sources of the chosen color.\nWhen Charm School falls off your head, sacrifice Charm Schoo",,,,1,,0.2,0.49
Sly Spy,Unstable,silver,{2}{B},Creature — Human Spy,"Whenever Sly Spy deals combat damage to a player, that player loses a finger until Sly Spy leaves the battlefield. (The finger is chosen by its owner and can't roll dice or touch cards.)",2,2,,67c,agentsofsneak,0.28,0.25
Garbage Elemental,Unstable,silver,{4}{R},Creature — Elemental Rigger,"When Garbage Elemental enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)\nUndying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.",3,1,,82b,,0.63,0.33
Teacher's Pet,Unstable,silver,{1}{W},Creature — Cat Bird Scientist,"{2}{W}, Sacrifice Teacher's Pet: Search your library for a card with augment, combine it with target host you control, then shuffle.",2,1,,25,crossbreedlabs,0.2,0.19
Chivalrous Chevalier,Unstable,silver,{4}{W},Artifact Creature — Cyborg Knight,"Flying\nWhen Chivalrous Chevalier enters the battlefield, return a creature you control to its owner's hand unless you compliment an opponent",3,3,,5,orderofthewidget,0.07,0.1
Wet Willie of the Damned,Unhinged,silver,{2}{B}{B},Sorcery,Wet Willie of the Damned deals 2½ damage to any target and you gain 2½ life.,,,,66,,0.17,0.02
Symbol Status,Unhinged,silver,{2}{G}{G},Sorcery,Create a 1/1 colorless Expansion-Symbol creature token for each different expansion symbol among permanents you control.,,,,114,,0.24,0.55
Granny's Payback,Unhinged,silver,{7}{G},Sorcery,You gain life equal to your age.,,,,99,,0.22,0.55
Staying Power,The List (Unfinity Foil Edition),silver,{2}{W},Enchantment,"\""Until end of turn\"" and \""this turn\"" effects don't ",,,,8,,,
Willing Test Subject,Unstable,silver,{2}{G},Creature — Spider Monkey Scientist,"Reach\nWhenever you roll a 4 or higher on a die, put a +1/+1 counter on Willing Test Subject.\n{6}: Roll a six-sided di",2,2,,126,crossbreedlabs,0.12,0.03
Man of Measure,Unhinged,silver,{1}{W}{W},Creature — Human Knight,"As long as you're shorter than an opponent, Man of Measure gets +0/+1 and has first strike.\nAs long as you're taller than an opponent, Man of Measure gets +1/+0",2,2,,18,,0.12,0.29
Now I Know My ABC's,Unhinged,silver,{1}{U}{U},Enchantment,"At the beginning of your upkeep, if you control permanents with names that include all twenty-six letters of the English alphabet, you win the game.",,,,41,,2.79,0.79
Ineffable Blessing,Unstable,silver,{1}{G},Enchantment,"As Ineffable Blessing enters the battlefield, choose odd or even.\nWhenever a creature with a collector number of the chosen value enters the battlefield under your control, draw a card",,,,113e,,0.88,1.0
Zombie Fanboy,Unhinged,silver,{2}{B},Creature — Zombie Gamer,"As Zombie Fanboy enters the battlefield, choose an artist.\nWhenever a permanent with art by the chosen artist is put into a graveyard, put two +1/+1 counters on Zombie Fanboy",1,1,,69,,0.27,0.54
Island,Unsanctioned,black,"",Basic Land — Island,({T}: Add {U}.),,,,90,,1.4,2.25
Enter the Dungeon,Unhinged,silver,{B}{B},Sorcery,"Players play a Magic subgame under the table, starting at 5 life and using their libraries as their decks. The winner searches their library for two cards, puts those cards into their hand, then shuffles.",,,,53,,1.34,0.71
